Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,458949
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.7322671584613
Bulgaria,BGR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,12.1895750473205
Bulgaria,BGR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,17.431792921811
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,38829.1913208102
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.7073170731707
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6446596
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.7
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.7872478365158
Burkina Faso,BFA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,11.3694599596704
Burkina Faso,BFA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,8.53200243789895
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2759.30205484605
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.092
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,41.442033530681
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.32757840997187
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,23025776
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.6
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.5534768372276
Burundi,BDI,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,13.6549138261671
Burundi,BDI,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,46.0212438657281
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1149.98405842389
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.651
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Burundi,BDI,"Population, total",SP.POP.TOTL,13689450
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.6
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.9064245753376
Cabo Verde,CPV,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,20.2119970579194
